symbol,open_time,close_time,open,high,low,close,volume,quote_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume
BTCUSDT,1785163500000,1785164399999,64476.00000000,64710.00000000,64472.01000000,64687.45000000,267.77876000,17302880.57906940,71471,139.64386000,9023413.08440300
BTCUSDT,1785164400000,1785165299999,64687.45000000,64776.00000000,64579.22000000,64728.87000000,211.16088000,13656456.80516510,64265,83.19458000,5381011.78615790
BTCUSDT,1785165300000,1785166199999,64728.87000000,64774.00000000,64554.51000000,64658.00000000,118.64548000,7670715.36978040,51012,54.41610000,3518002.54999170
BTCUSDT,1785166200000,1785167099999,64658.00000000,64700.00000000,64418.01000000,64580.79000000,191.81385000,12379613.29756580,45492,82.85559000,5346343.36157120
BTCUSDT,1785167100000,1785167999999,64580.80000000,64637.79000000,64534.79000000,64554.01000000,74.66972000,4822708.68881260,32863,35.69585000,2305403.18869890
BTCUSDT,1785168000000,1785168899999,64554.00000000,64683.53000000,64538.54000000,64616.00000000,95.70287000,6182049.64553340,30283,59.22861000,3825865.02740640
BTCUSDT,1785168900000,1785169799999,64616.00000000,64796.00000000,64517.78000000,64734.01000000,176.37759000,11403078.57852840,42100,95.32575000,6163920.63393540
BTCUSDT,1785169800000,1785170699999,64734.00000000,64970.93000000,64734.00000000,64923.77000000,113.42357000,7358802.63878860,40615,71.66916000,4649864.94392560
BTCUSDT,1785170700000,1785171599999,64923.77000000,64949.99000000,64811.28000000,64898.52000000,87.86898000,5701149.38270250,25894,37.80137000,2452652.29541920
BTCUSDT,1785171600000,1785172499999,64898.53000000,64949.22000000,64794.37000000,64897.29000000,100.06495000,6489495.43684030,30823,55.33721000,3588466.73985760
BTCUSDT,1785172500000,1785173399999,64897.29000000,65061.86000000,64884.00000000,65002.55000000,149.59182000,9725454.64079990,30234,66.87241000,4346641.22708790
BTCUSDT,1785173400000,1785174299999,65002.55000000,65090.00000000,64996.00000000,65000.00000000,88.07984000,5729144.20539040,23985,54.75510000,3561504.07787300
BTCUSDT,1785174300000,1785175199999,65000.01000000,65031.81000000,64955.43000000,65019.81000000,66.75546000,4338425.02066990,21095,40.35368000,2622576.66428690
BTCUSDT,1785175200000,1785176099999,65019.81000000,65058.32000000,64962.67000000,64962.67000000,51.34540000,3337957.47162130,22852,18.89302000,1228194.22685230
BTCUSDT,1785176100000,1785176999999,64962.66000000,64962.66000000,64843.32000000,64918.87000000,81.84223000,5310256.85304360,28594,31.39955000,2037156.47653040
BTCUSDT,1785177000000,1785177899999,64918.87000000,64932.89000000,64755.67000000,64837.33000000,118.37073000,7674543.86029210,30126,61.51912000,3987736.45170940
BTCUSDT,1785177900000,1785178799999,64837.33000000,64880.72000000,64763.97000000,64878.00000000,71.70508000,4648349.85086310,22179,34.14615000,2213595.15110850
BTCUSDT,1785178800000,1785179699999,64878.00000000,65026.35000000,64810.90000000,64974.00000000,56.36905000,3659595.43281790,26663,36.09086000,2343123.14725800
BTCUSDT,1785179700000,1785180599999,64974.01000000,65029.30000000,64929.88000000,64996.01000000,80.17271000,5209406.82278790,21282,44.29085000,2877772.81199580
BTCUSDT,1785180600000,1785181499999,64996.01000000,65078.00000000,64972.01000000,64978.00000000,79.86145000,5192657.71833830,22664,39.77275000,2586053.08258120
BTCUSDT,1785181500000,1785182399999,64978.00000000,64984.00000000,64920.50000000,64984.00000000,75.42113000,4899416.98010000,16770,35.89555000,2331758.41659190
BTCUSDT,1785182400000,1785183299999,64983.99000000,65056.00000000,64944.00000000,64956.28000000,46.50783000,3023337.49402530,12733,23.97760000,1558439.70797370
BTCUSDT,1785183300000,1785184199999,64956.27000000,65015.24000000,64908.01000000,65015.24000000,26.55528000,1724907.63105770,9372,11.10673000,721441.31037790
BTCUSDT,1785184200000,1785185099999,65015.24000000,65026.16000000,64950.00000000,64950.02000000,35.16231000,2285077.79864050,10346,11.32523000,735946.44490860
BTCUSDT,1785185100000,1785185999999,64950.01000000,64964.01000000,64908.01000000,64960.65000000,89.47417000,5809484.25444310,8578,15.63926000,1015432.86114400
BTCUSDT,1785186000000,1785186899999,64960.64000000,64960.65000000,64900.00000000,64903.43000000,59.64167000,3872918.57042040,9879,12.53348000,813702.87926780
BTCUSDT,1785186900000,1785187799999,64903.44000000,64903.44000000,64819.16000000,64828.38000000,70.01358000,4541296.67888250,8099,34.29175000,2224072.85211700
